Graph,RootType,Heuristic,Strategy,ColorCount,Time
7.edge,1,RLF,Quotient,336,4.128552899695933
7.edge,1,RLF,WholeGraph,336,1.5689600999467075
7.edge,1,Greedy,WholePrime,344,0.6014776001684368
7.edge,1,Greedy,Quotient,338,4.269488400314003
7.edge,1,Greedy,WholeGraph,346,2.7886887001805007
7.edge,1,DSatur,WholePrime,335,1.2182482997886837
7.edge,1,DSatur,Quotient,336,4.412097400054336
7.edge,1,DSatur,WholeGraph,335,6.453788300044835
7.edge,1,TabuCol,WholePrime,331,63.813372999895364
7.edge,1,TabuCol,Quotient,336,27.52208499982953
7.edge,1,TabuCol,WholeGraph,336,35.71482650004327
8.edge,1,RLF,WholePrime,226,0.4435501000843942
8.edge,1,RLF,Quotient,225,4.140863100066781
8.edge,1,RLF,WholeGraph,226,3.04148539993912
8.edge,1,Greedy,WholePrime,237,0.5328159998171031
8.edge,1,Greedy,Quotient,227,4.218909200280905
8.edge,1,Greedy,WholeGraph,237,1.104664500337094
8.edge,1,DSatur,WholePrime,227,1.0166319999843836
8.edge,1,DSatur,Quotient,225,4.449177399743348
8.edge,1,DSatur,WholeGraph,227,3.0923799998126924
8.edge,1,TabuCol,WholePrime,225,50.621158599853516
8.edge,1,TabuCol,Quotient,225,32.385275799781084
8.edge,1,TabuCol,WholeGraph,226,26.412999200168997
9.edge,1,RLF,WholePrime,408,0.5360555001534522
9.edge,1,RLF,Quotient,408,4.006188299972564
9.edge,1,RLF,WholeGraph,408,1.2685843002982438
9.edge,1,Greedy,WholePrime,415,0.4291617004200816
9.edge,1,Greedy,Quotient,408,4.097843800205737
9.edge,1,Greedy,WholeGraph,413,4.685124499723315
9.edge,1,DSatur,WholePrime,405,0.8731423998251557
9.edge,1,DSatur,Quotient,408,4.145536600146443
9.edge,1,DSatur,WholeGraph,405,6.62996290018782
9.edge,1,TabuCol,WholePrime,404,58.50552870007232
9.edge,1,TabuCol,Quotient,408,32.438533099833876
9.edge,1,TabuCol,WholeGraph,408,41.454546300228685
