Graph,RootType,Heuristic,Strategy,ColorCount,Time
r1000.5.edge,p,TabuCol,WholePrime,263,27.34698210004717
r1000.5.edge,p,TabuCol,Quotient,263,78.11736200004816
r1000.5.edge,p,TabuCol,WholeGraph,263,16.78426230000332
r250.5.edge,p,RLF,WholePrime,70,0.20480980025604367
r250.5.edge,p,RLF,Quotient,74,1.8820140999741852
r250.5.edge,p,RLF,WholeGraph,70,0.023419000208377838
r250.5.edge,p,Greedy,WholePrime,79,0.18895119987428188
r250.5.edge,p,Greedy,Quotient,74,1.769821900408715
r250.5.edge,p,Greedy,WholeGraph,79,0.02509369980543852
r250.5.edge,p,DSatur,WholePrime,67,0.441431500017643
r250.5.edge,p,DSatur,Quotient,74,1.879188199993223
r250.5.edge,p,DSatur,WholeGraph,67,0.07412529969587922
r250.5.edge,p,TabuCol,WholePrime,69,6.195172699633986
r250.5.edge,p,TabuCol,Quotient,74,1.7849661000072956
r250.5.edge,p,TabuCol,WholeGraph,70,1.133292299695313
